訂單編號,顧客編號,產品編號,產品名稱,產品類別,單價,數量,下單日期,小計,利潤,成本,明年度預期目標值,姓名,性別,年齡,居住地區,職業類別,年,月,日,季,年齡層
ID00012,AC1700467,F040,機能運動風褲女童-粉紅,童裝,900.0,1.0,2016-01-02,900.0,158.4,111.6,954.0,林巧凌,Female,28,新北市,住宿和餐飲業,2016.0,1.0,2.0,1.0,20
ID00013,AC1702791,F024,運動潮流直筒棉褲男童-灰,童裝,2030.0,3.0,2016-01-02,6090.0,1071.8400000000001,755.16,6455.400000000001,邱玉娟,Female,61,桃園市,住宿和餐飲業,2016.0,1.0,2.0,1.0,60
ID00014,AC1701018,F012,托特包-白,配件,1740.0,1.0,2016-01-02,1740.0,431.52,90.47999999999999,1844.4,林柏宜,Male,41,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00015,AC1700778,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,1.0,2016-01-02,1800.0,297.0,243.00000000000003,1908.0,林雅筑,Male,51,新北市,住宿和餐飲業,2016.0,1.0,2.0,1.0,50
ID00016,AC1703073,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-02,1800.0,270.0,270.0,1908.0,曾明倫,Male,55,桃園市,住宿和餐飲業,2016.0,1.0,2.0,1.0,50
ID00017,AC1701770,F039,12格書櫃-黑,家俱,2500.0,1.0,2016-01-02,2500.0,375.0,375.0,2650.0,弓文月,Female,35,新北市,其他,2016.0,1.0,2.0,1.0,30
ID00018,AC1701721,F040,機能運動風褲女童-粉紅,童裝,900.0,1.0,2016-01-02,900.0,158.4,111.6,954.0,蔡凱元,Male,43,宜蘭縣,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00019,AC1702990,F009,大化妝包-深藍,配件,2100.0,3.0,2016-01-02,6300.0,1562.4,327.59999999999997,6678.0,李漢來,Female,39,桃園市,其他,2016.0,1.0,2.0,1.0,30
ID00020,AC1701395,F012,托特包-白,配件,1740.0,1.0,2016-01-02,1740.0,431.52,90.47999999999999,1844.4,林筱謙,Male,34,宜蘭縣,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00021,AC1702588,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,1.0,2016-01-02,1800.0,297.0,243.00000000000003,1908.0,劉行歡,Male,55,桃園市,住宿和餐飲業,2016.0,1.0,2.0,1.0,50
ID00022,AC1702428,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-02,1800.0,270.0,270.0,1908.0,陳品惟,Male,56,桃園市,其他,2016.0,1.0,2.0,1.0,50
ID00023,AC1700718,F039,12格書櫃-黑,家俱,2500.0,1.0,2016-01-02,2500.0,375.0,375.0,2650.0,張琇琳,Female,29,新北市,其他,2016.0,1.0,2.0,1.0,20
ID00024,AC1702132,F040,機能運動風褲女童-粉紅,童裝,900.0,1.0,2016-01-02,900.0,158.4,111.6,954.0,李翰仲,Female,40,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00025,AC1703548,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,3.0,2016-01-02,5400.0,891.0000000000005,729.0,5724.0,陳惠敏,Female,27,基隆市,其他,2016.0,1.0,2.0,1.0,20
ID00026,AC1701152,F012,托特包-白,配件,1740.0,1.0,2016-01-02,1740.0,431.52,90.47999999999999,1844.4,韓函富,Male,34,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,30
ID00027,AC1700109,F009,大化妝包-深藍,配件,2100.0,1.0,2016-01-02,2100.0,520.8,109.19999999999999,2226.0,李婉岳,Female,53,新北市,金融業和房地產,2016.0,1.0,2.0,1.0,50
ID00028,AC1701320,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-02,1800.0,270.0,270.0,1908.0,黃夢能,Male,48,宜蘭縣,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00029,AC1701429,F039,12格書櫃-黑,家俱,2500.0,1.0,2016-01-02,2500.0,375.0,375.0,2650.0,張博妃,Female,28,宜蘭縣,其他,2016.0,1.0,2.0,1.0,20
ID00030,AC1703526,F040,機能運動風褲女童-粉紅,童裝,900.0,1.0,2016-01-02,900.0,158.4,111.6,954.0,陳文霞,Female,48,基隆市,金融業和房地產,2016.0,1.0,2.0,1.0,40
ID00031,AC1700469,F028,大學T男童-藍,童裝,1750.0,1.0,2016-01-04,1750.0,308.0,217.0,1855.0,郭家慧,Male,33,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00032,AC1700907,F036,經典美式純POLO-藍,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,游淑珍,Female,29,新北市,其他,2016.0,1.0,4.0,1.0,20
ID00033,AC1702202,F009,大化妝包-深藍,配件,2100.0,1.0,2016-01-04,2100.0,520.8,109.19999999999999,2226.0,林雅萍,Male,44,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00034,AC1703743,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,陳家華,Male,34,基隆市,其他,2016.0,1.0,4.0,1.0,30
ID00035,AC1700631,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,洪偉孜,Female,40,新北市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00036,AC1702303,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,洪嘉盛,Male,51,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00037,AC1702445,F010,中夾-紅,皮件,2610.0,1.0,2016-01-04,2610.0,595.0800000000003,187.92,2766.6000000000004,藍昆城,Male,58,桃園市,其他,2016.0,1.0,4.0,1.0,50
ID00038,AC1702835,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,闕倍妍,Male,53,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00039,AC1702696,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,胡歡春,Male,42,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00040,AC1700539,F028,大學T男童-藍,童裝,1750.0,3.0,2016-01-04,5250.0,924.0000000000005,651.0,5565.0,陳玉揚,Female,30,新北市,其他,2016.0,1.0,4.0,1.0,30
ID00041,AC1701847,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,陳玉雅,Female,32,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00042,AC1701854,F024,運動潮流直筒棉褲男童-灰,童裝,2030.0,1.0,2016-01-04,2030.0,357.28,251.72,2151.8,何俊佑,Female,33,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00043,AC1701348,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,鄭舜文,Male,35,宜蘭縣,其他,2016.0,1.0,4.0,1.0,30
ID00044,AC1702217,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,劉凱鈞,Male,41,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00045,AC1702711,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,王智凱,Male,50,桃園市,其他,2016.0,1.0,4.0,1.0,50
ID00046,AC1701693,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,吳俊龍,Male,35,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00047,AC1700466,F041,三層樓梯椅-黑,家俱,820.0,1.0,2016-01-04,820.0,123.0,123.0,869.2,陳宏孜,Male,36,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00048,AC1700983,F042,圓領暖溫衣男童-灰,童裝,1200.0,1.0,2016-01-04,1200.0,211.2,148.8,1272.0,林雅玲,Female,44,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00049,AC1703894,F043,超輕羽絨外套女裝-粉紅,女裝,3900.0,1.0,2016-01-04,3900.0,643.5,526.5,4134.0,黃涵民,Male,25,臺北市,其他,2016.0,1.0,4.0,1.0,20
ID00050,AC1703799,F044,零錢包-黑,皮件,2900.0,1.0,2016-01-04,2900.0,661.2000000000003,208.79999999999998,3074.0,白合文,Female,49,臺北市,教育體育文化,2016.0,1.0,4.0,1.0,40
ID00051,AC1703306,F045,經典美式純POLO-灰,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,李聖辰,Male,28,基隆市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00052,AC1702365,F046,斜背包-黑,皮件,3190.0,1.0,2016-01-04,3190.0,727.32,229.67999999999998,3381.4,林家豪,Male,22,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00053,AC1701481,F047,刷毛長版T恤女裝-粉紅,女裝,2610.0,1.0,2016-01-04,2610.0,430.6500000000002,352.35,2766.6000000000004,張永憲,Male,38,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00054,AC1703597,F048,壓扣式翻蓋長夾-黑,皮件,2610.0,2.0,2016-01-04,5220.0,1190.1600000000005,375.84,5533.200000000001,吳玲韻,Female,35,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00055,AC1703229,F039,12格書櫃-黑,家俱,2500.0,2.0,2016-01-04,5000.0,750.0,750.0,5300.0,李雅竹,Male,54,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00056,AC1701157,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-04,1800.0,270.0,270.0,1908.0,馮月沛,Female,44,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00057,AC1700830,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,杭玉婷,Male,29,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,20
ID00058,AC1701404,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,陳枝蘭,Female,38,宜蘭縣,住宿和餐飲業,2016.0,1.0,4.0,1.0,30
ID00059,AC1702406,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,鄧志賢,Male,43,桃園市,其他,2016.0,1.0,4.0,1.0,40
ID00060,AC1702899,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,林子玫,Male,59,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00061,AC1703454,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,顧雅惠,Female,42,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00062,AC1701251,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,鄭弘香,Female,25,新北市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00063,AC1701429,F028,大學T男童-藍,童裝,1750.0,1.0,2016-01-04,1750.0,308.0,217.0,1855.0,張博妃,Female,28,宜蘭縣,其他,2016.0,1.0,4.0,1.0,20
ID00064,AC1702956,F036,經典美式純POLO-藍,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,陳宇男,Male,52,桃園市,教育體育文化,2016.0,1.0,4.0,1.0,50
ID00065,AC1700732,F009,大化妝包-深藍,配件,2100.0,1.0,2016-01-04,2100.0,520.8,109.19999999999999,2226.0,賴恭隆,Male,32,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00066,AC1700330,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,馮雅慧,Female,48,新北市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00067,AC1700071,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,郭志偉,Male,42,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00068,AC1703969,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,鄧怡文,Female,36,臺北市,其他,2016.0,1.0,4.0,1.0,30
ID00069,AC1701567,F010,中夾-紅,皮件,2610.0,1.0,2016-01-04,2610.0,595.0800000000003,187.92,2766.6000000000004,姚登財,Male,46,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00070,AC1702749,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,宋思為,Female,62,桃園市,其他,2016.0,1.0,4.0,1.0,60
ID00071,AC1701180,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,謝宜珍,Male,37,新北市,其他,2016.0,1.0,4.0,1.0,30
ID00072,AC1702933,F028,大學T男童-藍,童裝,1750.0,3.0,2016-01-04,5250.0,924.0000000000005,651.0,5565.0,吳佩樺,Female,45,桃園市,其他,2016.0,1.0,4.0,1.0,40
ID00073,AC1700219,F023,活動轉角書桌-咖,家俱,4200.0,1.0,2016-01-04,4200.0,630.0,630.0,4452.0,錢得軍,Male,33,臺北市,住宿和餐飲業,2016.0,1.0,4.0,1.0,30
ID00074,AC1703247,F024,運動潮流直筒棉褲男童-灰,童裝,2030.0,1.0,2016-01-04,2030.0,357.28,251.72,2151.8,陳惠芝,Female,37,桃園市,教育體育文化,2016.0,1.0,4.0,1.0,30
ID00075,AC1702449,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,黃家泰,Male,49,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00076,AC1703523,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,呂雅嵐,Female,37,基隆市,農林漁牧業,2016.0,1.0,4.0,1.0,30
ID00077,AC1700356,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,侯有幸,Female,47,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00078,AC1700277,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,劉士天,Male,35,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00079,AC1700555,F041,三層樓梯椅-黑,家俱,820.0,1.0,2016-01-04,820.0,123.0,123.0,869.2,楊雯桓,Female,43,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00080,AC1702658,F042,圓領暖溫衣男童-灰,童裝,1200.0,1.0,2016-01-04,1200.0,211.2,148.8,1272.0,戴宥昌,Female,47,桃園市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00081,AC1700109,F043,超輕羽絨外套女裝-粉紅,女裝,3900.0,1.0,2016-01-04,3900.0,643.5,526.5,4134.0,李婉岳,Female,53,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,50
ID00082,AC1703055,F044,零錢包-黑,皮件,2900.0,1.0,2016-01-04,2900.0,661.2000000000003,208.79999999999998,3074.0,王剛源,Male,51,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00083,AC1700109,F045,經典美式純POLO-灰,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,李婉岳,Female,53,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,50
ID00084,AC1701211,F046,斜背包-黑,皮件,3190.0,1.0,2016-01-04,3190.0,727.32,229.67999999999998,3381.4,溫真音,Male,29,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,20
ID00085,AC1702837,F047,刷毛長版T恤女裝-粉紅,女裝,2610.0,1.0,2016-01-04,2610.0,430.6500000000002,352.35,2766.6000000000004,張百中,Female,56,桃園市,其他,2016.0,1.0,4.0,1.0,50
ID00086,AC1703930,F048,壓扣式翻蓋長夾-黑,皮件,2610.0,2.0,2016-01-04,5220.0,1190.1600000000005,375.84,5533.200000000001,林怡君,Female,43,臺北市,其他,2016.0,1.0,4.0,1.0,40
ID00087,AC1702447,F039,12格書櫃-黑,家俱,2500.0,2.0,2016-01-04,5000.0,750.0,750.0,5300.0,郭俊偉,Male,41,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00088,AC1700538,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-04,1800.0,270.0,270.0,1908.0,劉廷全,Male,31,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00089,AC1702910,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,俞心怡,Female,47,桃園市,其他,2016.0,1.0,4.0,1.0,40
ID00090,AC1703022,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,林盈萱,Female,41,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00091,AC1703947,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,彭星茵,Female,57,臺北市,其他,2016.0,1.0,4.0,1.0,50
ID00092,AC1700546,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,陳賢心,Male,27,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,20
ID00093,AC1701507,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,張軒原,Female,53,新北市,其他,2016.0,1.0,4.0,1.0,50
ID00094,AC1701578,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,藍典俐,Male,30,宜蘭縣,住宿和餐飲業,2016.0,1.0,4.0,1.0,30
ID00095,AC1700109,F028,大學T男童-藍,童裝,1750.0,1.0,2016-01-04,1750.0,308.0,217.0,1855.0,李婉岳,Female,53,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,50
ID00096,AC1700885,F036,經典美式純POLO-藍,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,倪佳玲,Male,37,新北市,其他,2016.0,1.0,4.0,1.0,30
ID00097,AC1702004,F009,大化妝包-深藍,配件,2100.0,1.0,2016-01-04,2100.0,520.8,109.19999999999999,2226.0,劉嘉偉,Male,37,宜蘭縣,教育體育文化,2016.0,1.0,4.0,1.0,30
ID00098,AC1700162,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,吳宜婷,Female,52,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,50
ID00099,AC1700604,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,陳怡伶,Female,40,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00100,AC1702642,F012,托特包-白,配件,1740.0,1.0,2016-01-04,1740.0,431.52,90.47999999999999,1844.4,劉靜雯,Female,59,桃園市,其他,2016.0,1.0,4.0,1.0,50
ID00101,AC1702711,F010,中夾-紅,皮件,2610.0,1.0,2016-01-04,2610.0,595.0800000000003,187.92,2766.6000000000004,王智凱,Male,50,桃園市,其他,2016.0,1.0,4.0,1.0,50
ID00102,AC1701693,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,吳俊龍,Male,35,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00103,AC1701340,F009,大化妝包-深藍,配件,2100.0,2.0,2016-01-04,4200.0,1041.6,218.39999999999998,4452.0,陳玉屏,Female,32,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00104,AC1700983,F028,大學T男童-藍,童裝,1750.0,3.0,2016-01-04,5250.0,924.0000000000005,651.0,5565.0,林雅玲,Female,44,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00105,AC1703894,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,黃涵民,Male,25,臺北市,其他,2016.0,1.0,4.0,1.0,20
ID00106,AC1703799,F024,運動潮流直筒棉褲男童-灰,童裝,2030.0,1.0,2016-01-04,2030.0,357.28,251.72,2151.8,白合文,Female,49,臺北市,教育體育文化,2016.0,1.0,4.0,1.0,40
ID00107,AC1703306,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,李聖辰,Male,28,基隆市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00108,AC1702365,F008,法蘭絨格紋襯衫-黑,女裝,1800.0,2.0,2016-01-04,3600.0,594.0,486.00000000000006,3816.0,林家豪,Male,22,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00109,AC1701481,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,張永憲,Male,38,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00110,AC1703597,F005,運動潮流連帽外套男裝-灰,男裝,1450.0,5.0,2016-01-04,7250.0,1392.0,783.0,7685.0,吳玲韻,Female,35,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00111,AC1703229,F041,三層樓梯椅-黑,家俱,820.0,1.0,2016-01-04,820.0,123.0,123.0,869.2,李雅竹,Male,54,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00112,AC1701157,F042,圓領暖溫衣男童-灰,童裝,1200.0,1.0,2016-01-04,1200.0,211.2,148.8,1272.0,馮月沛,Female,44,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00113,AC1700830,F043,超輕羽絨外套女裝-粉紅,女裝,3900.0,1.0,2016-01-04,3900.0,643.5,526.5,4134.0,杭玉婷,Male,29,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,20
ID00114,AC1701404,F044,零錢包-黑,皮件,2900.0,1.0,2016-01-04,2900.0,661.2000000000003,208.79999999999998,3074.0,陳枝蘭,Female,38,宜蘭縣,住宿和餐飲業,2016.0,1.0,4.0,1.0,30
ID00115,AC1702406,F045,經典美式純POLO-灰,女裝,980.0,1.0,2016-01-04,980.0,161.7,132.3,1038.8,鄧志賢,Male,43,桃園市,其他,2016.0,1.0,4.0,1.0,40
ID00116,AC1702899,F046,斜背包-黑,皮件,3190.0,1.0,2016-01-04,3190.0,727.32,229.67999999999998,3381.4,林子玫,Male,59,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,50
ID00117,AC1703454,F047,刷毛長版T恤女裝-粉紅,女裝,2610.0,1.0,2016-01-04,2610.0,430.6500000000002,352.35,2766.6000000000004,顧雅惠,Female,42,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,40
ID00118,AC1701251,F048,壓扣式翻蓋長夾-黑,皮件,2610.0,2.0,2016-01-04,5220.0,1190.1600000000005,375.84,5533.200000000001,鄭弘香,Female,25,新北市,住宿和餐飲業,2016.0,1.0,4.0,1.0,20
ID00119,AC1702572,F039,12格書櫃-黑,家俱,2500.0,2.0,2016-01-04,5000.0,750.0,750.0,5300.0,簡玉婷,Female,46,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00120,AC1701404,F033,高機能伸縮衣架-黑,家俱,600.0,3.0,2016-01-04,1800.0,270.0,270.0,1908.0,陳枝蘭,Female,38,宜蘭縣,住宿和餐飲業,2016.0,1.0,4.0,1.0,30
ID00121,AC1701610,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,黃冠珮,Female,33,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00122,AC1703373,F033,高機能伸縮衣架-黑,家俱,600.0,1.0,2016-01-04,600.0,90.0,90.0,636.0,錢怡文,Male,35,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00123,AC1702272,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,宋筱涵,Male,54,桃園市,金融業和房地產,2016.0,1.0,4.0,1.0,50
ID00124,AC1702780,F033,高機能伸縮衣架-黑,家俱,600.0,2.0,2016-01-04,1200.0,180.0,180.0,1272.0,彭禹儒,Male,48,桃園市,住宿和餐飲業,2016.0,1.0,4.0,1.0,40
ID00125,AC1700944,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,林建裕,Female,30,新北市,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00126,AC1701863,F033,高機能伸縮衣架-黑,家俱,600.0,5.0,2016-01-04,3000.0,450.0,450.0,3180.0,王雅亞,Male,33,宜蘭縣,金融業和房地產,2016.0,1.0,4.0,1.0,30
ID00127,AC1700138,F028,大學T男童-藍,童裝,1750.0,1.0,2016-01-04,1750.0,308.0,217.0,1855.0,曾健豪,Male,55,基隆市,金融業和房地產,2016.0,1.0,4.0,1.0,50
